Neighborhood,Majority Age,Neighborhood Size,House Size,Family Percentage,Vacancy,Income,Rent,Home Value,Transit Closeness,Transit Cost,Rent Increase,Home Value Increase,Density
ALLENDALE,1,2,1,1,0,1,0,1,3,2,1,1,0
ANDERSON MILL,1,5,2,3,0,2,1,1,0,4,0,0,0
AVERY RANCH--LAKELINE,1,3,2,3,0,3,1,1,0,3,0,0,0
BARTON HILLS,0,2,0,1,0,1,0,2,3,2,1,2,0
BOULDIN,0,1,1,1,0,1,0,2,3,2,1,2,1
BRENTWOOD,0,2,0,1,0,1,0,1,3,2,1,1,1
BRODIE LANE,0,2,1,2,0,2,1,0,1,4,1,0,0
BULL CREEK,2,2,1,2,0,1,0,1,3,2,1,1,0
CENTRAL EAST AUSTIN,0,1,1,1,0,0,0,0,4,2,3,4,1
CENTRAL WEST AUSTIN,1,2,1,2,0,3,1,4,3,2,2,2,0
CHERRY CREEK,0,4,1,2,0,1,0,0,3,3,1,1,1
CHESTNUT,0,1,1,1,0,0,0,0,4,2,3,4,1
CIRCLE C SOUTH,1,2,3,4,0,4,4,2,0,4,0,1,0
CORONADO HILLS,0,1,2,2,0,0,0,0,3,2,0,1,1
CRESTVIEW,1,1,0,1,1,1,0,1,3,2,1,1,0
DAVENPORT--LAKE AUSTIN,1,1,2,3,0,4,1,4,0,4,1,1,0
DAWSON,0,1,1,1,0,1,0,2,3,2,1,2,1
DECKER LAKE,1,1,4,4,0,1,0,0,0,4,1,0,0
DITTMAR--SLAUGHTER,0,3,2,2,0,1,0,0,3,3,1,1,0
DOWNTOWN,0,2,0,0,2,2,3,2,4,0,4,0,0
EAST CESAR CHAVEZ,0,1,1,1,0,0,0,0,4,2,3,4,1
EAST CONGRESS,0,1,1,1,0,1,0,2,3,2,1,2,0
EAST OAK HILL,0,3,1,1,0,2,1,2,0,4,0,1,0
FOUR POINTS,0,2,0,1,0,4,1,4,0,4,0,0,0
FRANKLIN PARK,0,2,4,4,0,1,0,0,3,3,1,0,1
GALINDO,0,1,1,1,0,1,0,2,3,2,1,2,1
GARRISON PARK,0,3,1,1,0,1,0,0,3,3,1,1,1
GATEWAY,0,1,0,0,0,2,0,1,1,2,0,0,0
GEORGIA ACRES,0,2,2,2,1,1,0,0,2,3,1,0,1
GOVALLE,0,1,2,2,0,0,0,0,4,2,3,4,0
GRACY WOODS,0,5,1,1,0,1,0,0,3,3,0,0,0
HANCOCK,0,1,0,0,0,1,0,1,4,1,1,1,1
HARRIS BRANCH,1,1,3,3,0,1,0,0,0,3,1,0,0
HAYS WARTHA,1,1,1,0,4,2,0,2,4,1,2,1,0
HERITAGE HILLS,0,1,3,3,0,1,0,0,2,3,1,0,0
HIGHLAND,0,1,1,1,0,0,0,0,3,2,0,1,0
HIGHLAND PARK,2,1,1,2,0,2,1,3,2,4,1,1,0
HOLLY,0,1,2,2,0,0,0,0,4,2,3,4,1
HYDE PARK,0,2,0,0,0,1,0,1,4,1,1,1,1
JESTER,1,1,1,2,0,2,1,1,0,4,0,0,0
JOHNSTON TERRACE,0,1,3,2,0,0,0,0,4,3,2,2,0
JOLLYVILLE,1,4,1,2,0,1,1,0,0,4,0,0,0
LBJ,0,1,3,3,0,1,0,0,0,4,1,0,0
MCNIEL,0,5,1,1,0,1,1,0,0,4,0,0,0
MLK,0,1,2,2,1,0,0,0,4,3,2,2,0
MLK-183,0,1,3,2,0,0,0,0,4,3,2,2,0
MONTOPOLIS,0,2,3,3,0,0,0,0,3,3,1,0,1
MUELLER,0,1,1,2,1,1,0,1,4,2,1,2,0
NACA,0,4,3,3,0,1,0,0,3,3,0,0,2
NORTH BURNET,0,1,0,1,1,1,0,0,3,3,0,0,0
NORTH LAMAR,0,1,3,3,0,1,0,0,2,3,1,0,1
NORTH LOOP,0,1,1,0,0,1,0,1,4,1,1,1,1
NORTH SHOAL CREEK,0,1,0,1,0,1,0,1,3,2,1,1,0
NORTH UNIVERSITY,0,1,0,0,0,0,1,1,4,1,3,0,2
NORTHWEST HILLS,0,2,0,1,0,2,0,1,1,2,0,0,1
OLD ENFIELD,1,1,1,1,0,3,1,4,3,2,2,2,0
OLD WEST AUSTIN,0,1,0,0,0,3,1,4,3,2,2,2,0
PARKER LANE,0,2,1,1,0,0,0,0,3,3,1,0,1
PECAN SPRINGS--SPINGDALE,0,1,2,2,1,1,0,0,4,3,1,2,0
PLEASANT VALLEY,0,3,1,1,0,0,0,0,3,3,1,0,1
POND SPRINGS,0,3,1,1,0,1,1,0,0,4,0,0,1
RIVERSIDE,0,2,1,2,2,0,0,0,3,3,1,0,2
ROBINSON RANCH,0,1,0,1,0,1,1,0,0,4,0,0,0
ROGERS HILL,0,2,4,4,0,1,0,0,0,4,1,0,0
ROSEDALE,1,2,0,1,0,2,0,2,4,1,2,1,0
ROSEWOOD,0,1,2,2,0,0,0,0,4,2,3,4,1
SAMSUNG--PIONEER CROSSING,0,1,2,2,0,1,0,0,0,3,1,0,0
SLAUGHTER CREEK,0,2,1,2,0,2,1,0,1,4,1,0,0
SOUTH BRODIE,1,2,2,3,0,2,1,0,1,4,1,0,0
SOUTH LAMAR,0,2,0,1,0,1,0,2,3,2,1,2,1
SOUTH MANCHACA,1,2,1,1,0,1,0,0,3,3,1,1,1
SOUTH RIVER CITY,0,2,0,1,0,1,0,2,3,2,1,2,1
SPICEWOOD,1,1,2,3,0,1,0,0,3,3,1,0,0
ST. EDWARDS,0,1,1,1,0,1,0,2,3,2,1,2,1
ST. JOHN,0,2,2,2,1,0,0,0,3,2,0,1,1
SWEET BRIAR,0,1,1,1,0,1,0,0,3,3,1,1,1
TECH RIDGE,0,3,1,2,0,1,0,0,2,3,1,0,0
TRIANGLE-STATE,0,1,0,0,0,1,0,1,4,1,1,1,0
UNIVERSITY HILLS,0,1,2,2,0,1,0,0,4,3,1,2,0
UPPER BOGGY CREEK,0,1,1,1,0,1,0,1,4,2,1,2,1
VILLAGE AT WESTERN OAKS,1,2,2,3,0,3,1,1,1,3,1,0,0
WALNUT CREEK--PIONEER HILL,0,1,1,1,0,1,0,0,2,3,1,0,0
WEST CONGRESS,0,1,2,2,0,1,0,0,3,3,1,1,1
WEST OAK HILL,1,3,2,2,0,1,0,0,2,3,1,0,0
WEST UNIVERSITY,0,3,1,0,0,0,1,1,4,1,3,0,4
WESTGATE,2,1,1,1,0,1,0,0,3,3,1,1,1
WESTOVER HILLS,2,2,0,1,0,2,0,1,1,2,0,0,0
WINDSOR HILLS,0,1,3,2,0,1,0,0,2,3,1,0,1
WINDSOR PARK,0,3,2,2,1,1,0,0,4,3,1,2,1
WINDSOR ROAD,1,1,1,2,0,3,1,4,3,2,2,2,0
WOOTEN,0,1,2,2,0,1,0,1,3,2,1,1,1
ZILKER,1,2,0,1,1,1,0,2,3,2,1,2,1
