Neighborhood,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Majority Age,Neighborhood Size,House Size,Family Percentage,Percent Vacant,Vacancy,Income,Rent,Home Value,Transit Closeness,Transit Cost,Rent Increase,Home Value Increase,Density
ALLENDALE,6643,3263,6621,2.0,22,1650,1613,723,22.2,6.3,5.5,4.4,2.4,1.1,4.2,15.6,17.2,15.0,7.5,5.7,6.8,5.4,3.0,6643,3612,3263,349,64.1,5.1,1303.5,78757,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,45-59,3263,2.0,22.2,9.662236987818384,9.662236987818384,55156.0,895.0,253300.0,79.0,590.0,24.0,93.0,5.1
ANDERSON MILL,28473,10904,28368,2.6,105,7812,3092,4037,37.0,6.2,7.3,7.7,4.8,2.2,4.7,11.7,15.8,17.7,6.5,5.5,6.1,2.8,1.1,28473,11507,10904,603,67.3,5.0,5706.4,78750,7.0,75958.0,16.0,16.0,9.0,6.0,6.0,19.0,2.0,0.0,0.0,1012.0,303100.0,0.3,32.0,4.0,1.0,15.0,5.0,70.0,15.0,99.0,51.0,104.0,20.0,64.0,21.0,747.0,33.0,45-59,10904,2.6,37.0,5.240288520031285,5.240288520031285,75958.0,1012.0,303100.0,21.0,747.0,20.0,64.0,5.0
AVERY RANCH--LAKELINE,14785,5681,14785,2.6,0,3878,1803,2472,43.5,11.2,9.1,6.7,3.1,1.2,4.5,20.2,21.7,12.1,3.8,2.7,2.7,0.9,0.3,14785,6108,5681,427,60.5,3.2,4641.4,78717,3.0,93305.0,25.0,14.0,4.0,5.0,9.0,7.0,1.0,0.0,0.0,1018.0,243200.0,0.1,230.0,0.0,1.0,9.0,0.0,70.0,6.0,98.0,67.0,638.0,2.0,33.0,3.0,708.0,47.0,35-44,5681,2.6,43.5,6.990831696136215,6.990831696136215,93305.0,1018.0,243200.0,3.0,708.0,2.0,33.0,3.2
BARTON HILLS,8022,4614,7890,1.7,132,1445,3169,556,12.1,3.1,3.4,2.9,1.8,1.0,10.7,29.2,14.7,11.5,6.2,4.9,4.8,3.2,2.5,8022,4965,4614,351,31.4,3.9,2038.1,78704,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,25-34,4614,1.7,12.1,7.069486404833837,7.069486404833837,50248.0,940.0,338200.0,76.0,629.0,40.0,126.0,3.9
BOULDIN,5510,2694,5468,2.0,42,1024,1670,489,18.2,7.9,5.5,4.2,2.6,1.7,8.9,26.4,17.3,11.5,4.5,3.5,3.2,1.7,1.0,5510,2949,2694,255,40.4,7.1,773.3,78704,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,25-34,2694,2.0,18.2,8.646998982706002,8.646998982706002,50248.0,940.0,338200.0,76.0,629.0,40.0,126.0,7.1
BRENTWOOD,7513,4127,7469,1.8,44,1467,2660,562,13.6,4.8,3.4,2.7,1.7,2.0,10.6,26.2,17.9,13.5,6.3,3.7,3.4,2.5,1.4,7513,4401,4127,274,40.3,7.4,1013.7,78757,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,25-34,4127,1.8,13.6,6.225857759600091,6.225857759600091,55156.0,895.0,253300.0,79.0,590.0,24.0,93.0,7.4
BRODIE LANE,10913,4770,10884,2.3,29,2646,2124,1239,26.0,6.6,5.7,4.9,3.3,2.1,7.4,23.5,16.0,15.3,5.9,4.0,3.2,1.6,0.4,10913,4939,4770,169,58.4,5.7,1920.3,78748,9.0,65889.0,10.0,35.0,9.0,6.0,8.0,29.0,4.0,7.0,3.0,1095.0,185500.0,0.6,74.0,0.0,4.0,12.0,0.0,63.0,22.0,100.0,92.0,260.0,29.0,58.0,40.0,747.0,44.0,25-34,4770,2.3,26.0,3.421745292569346,3.421745292569346,65889.0,1095.0,185500.0,40.0,747.0,29.0,58.0,5.7
BULL CREEK,7655,3409,7574,2.2,81,2155,1254,867,25.4,5.4,6.2,5.5,3.6,1.0,3.0,9.0,13.5,17.1,8.7,7.0,10.2,6.5,3.3,7655,3606,3409,197,76.2,3.4,2247.3,78757,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,60+,3409,2.2,25.4,5.463117027176927,5.463117027176927,55156.0,895.0,253300.0,79.0,590.0,24.0,93.0,3.4
CENTRAL EAST AUSTIN,4677,1874,4421,2.4,256,819,1055,389,20.8,7.2,5.6,4.9,2.8,5.2,12.8,23.5,13.1,10.5,4.3,2.8,3.4,2.9,1.0,4677,2102,1874,228,37.5,7.5,624.8,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,25-34,1874,2.4,20.8,10.846812559467175,10.846812559467175,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,7.5
CENTRAL WEST AUSTIN,10522,4490,10139,2.3,383,2501,1989,1300,29.0,7.5,7.0,5.8,2.9,1.0,5.0,18.7,15.3,14.1,6.4,5.6,6.1,3.3,1.5,10522,4891,4490,401,58.9,5.2,2025.5,78703,10.0,92606.0,9.0,9.0,6.0,4.0,4.0,3.0,11.0,0.0,0.0,1183.0,621900.0,0.4,1.0,0.0,8.0,25.0,0.0,51.0,2.0,92.0,13.0,7.0,65.0,104.0,67.0,629.0,25.0,45-59,4490,2.3,29.0,8.198732365569414,8.198732365569414,92606.0,1183.0,621900.0,67.0,629.0,65.0,104.0,5.2
